id,lat,lon
308,28.0,103.0
309,28.0,103.0
310,21.0,100.0
311,21.0,100.0
312,32.3,114.0
313,32.3,114.0
314,32.3,114.0
315,32.3,114.0
316,1.0,29.0
317,1.0,29.0
318,27.0,119.0
319,27.0,119.0
320,29.0,109.0
321,29.0,109.0
322,-3.0,37.0
323,-3.0,37.0
324,32.3,114.0
325,32.3,114.0
326,21.0,100.0
327,21.0,100.0
328,32.3,114.0
329,32.3,114.0
330,32.3,114.0
331,32.3,114.0
332,32.3,114.0
333,32.3,114.0
334,34.7,107.8
335,34.7,107.8
336,27.0,119.0
337,27.0,119.0
338,32.3,114.0
339,32.3,114.0
340,48.5,124.0
341,48.5,124.0
342,26.0,100.0
343,26.0,100.0
344,32.3,114.0
345,32.3,114.0
346,-25.6,24.25
347,-25.6,24.25
348,4.0,17.0
349,4.0,17.0
350,32.3,114.0
351,32.3,114.0
352,34.7,107.8
353,34.7,107.8
354,32.3,114.0
355,32.3,114.0
356,12.0,-12.0
357,12.0,-12.0
358,32.3,114.0
359,32.3,114.0
360,32.3,114.0
361,32.3,114.0
362,32.3,114.0
363,32.3,114.0
364,32.3,114.0
365,32.3,114.0
366,32.3,114.0
367,32.3,114.0
368,32.3,114.0
369,32.3,114.0
370,22.0,100.0
371,22.0,100.0
372,29.0,109.0
373,29.0,109.0
374,34.7,107.8
375,34.7,107.8
376,32.3,114.0
377,32.3,114.0
378,32.3,114.0
379,32.3,114.0
380,28.0,109.0
381,28.0,109.0
382,32.3,114.0
383,32.3,114.0
384,28.0,103.0
385,28.0,103.0
386,36.0,101.0
387,36.0,101.0
388,34.7,107.8
389,34.7,107.8
390,36.0,101.0
391,36.0,101.0
392,36.0,101.0
393,36.0,101.0
394,22.0,100.0
395,22.0,100.0
396,32.3,114.0
397,32.3,114.0
398,32.3,114.0
399,32.3,114.0
400,34.7,107.8
401,34.7,107.8
402,34.7,107.8
403,34.7,107.8
404,32.3,114.0
405,32.3,114.0
406,48.5,119.0
407,48.5,119.0
408,28.0,103.0
409,28.0,103.0
410,27.0,119.0
411,27.0,119.0
412,22.0,100.0
413,22.0,100.0
414,29.0,109.0
415,29.0,109.0
416,36.0,101.0
417,36.0,101.0
418,32.3,114.0
419,32.3,114.0
420,28.0,103.0
421,28.0,103.0
422,28.0,109.0
423,28.0,109.0
424,26.0,100.0
425,26.0,100.0
426,22.0,100.0
427,22.0,100.0
428,21.0,100.0
429,21.0,100.0
430,28.0,109.0
431,28.0,109.0
432,29.0,109.0
433,29.0,109.0
434,28.0,103.0
435,28.0,103.0
