id	xcoord	ycoord	type	neighbours
0	48.570587469510585	19.20707177041885	0	298,342,360,538,570,742
1	-16.401760901887553	21.582860747658806	0	151,274,784
2	87.95518201783528	54.391737348013784	0	3,334,632,638,731,873
3	85.229545270814	51.87459859570951	0	2,44,245,638,714,731
4	23.556861907000094	25.08797275808231	0	462,547,671,704,709,870
5	-5.81677451013942	19.130837300433647	0	45,230,445,479,599,801
6	17.50648440866044	-8.37865715938111	0	61,234,282,329,368,602
7	-2.634158240650545	11.92174400520011	0	141,161,357,376,381,830
8	45.10815419121071	57.28576762456717	0	430,449,503,578,795,877
9	87.51538025680831	26.06250909738892	0	23,100,272,440,516,555
10	135.1024845861099	46.97954072937095	0	380,495,562,577
11	12.798384897320785	-14.883261944016912	0	150,295,827
12	72.51673434352523	40.69534517220421	0	185,263,291,302,438,505
13	17.208074067063222	13.31384039192533	0	49,103,280,530,719,823
14	53.54761636151088	21.823980521089073	0	270,484,633,717,742
15	99.84825198495425	32.7114197916759	1	143,212,411,483,623,634
16	109.33498496251109	56.30033818799404	0	115,227,391,395,697,840
17	135.81877896708255	61.31298004792526	0	237,351,412,715,803,893
18	116.00737300012997	30.21792001722742	0	275,400,463,541,650,872
19	71.44393500235971	25.1503048298534	0	140,184,473,661,732,737
20	101.26244231075857	76.65396953969808	0	401,509,734
21	154.17159426891766	69.30822147293236	0	169,415,526,781
22	31.529901302867493	-11.303159355979101	0	31,102,213,303,586,843
23	86.00585745800022	28.508142910296822	1	9,100,175,336,440,471
24	21.996967059631896	17.09242676033656	0	164,189,242,561,651,719
25	14.11510929194923	1.5272242179027002	0	378,404,450,458,491,814
26	105.34874766943463	70.64267069880829	0	64,73,362,558,601,734
27	120.01825711958595	27.045065428509325	0	275,400,596,799
28	12.985221375450953	42.04102114611245	0	56,131
29	25.31051221756267	63.98835239605036	0	200,414,434,543,712,863
30	33.58537365459702	49.78891727467468	0	71,331,382,424,567,833
