id	xcoord	ycoord	type	neighbours
0	-94.82045603691056	16.483914004566703	0	59,204,880,930
1	-102.4547181051695	18.519973846813738	0	131,312,617,654,656,947
2	-103.38042828086945	18.42966751754072	0	133,265,947
3	-99.91678949617192	21.800146068212253	0	165,192,305,518,566,673
4	-103.7833137652129	22.243994721671278	1	96,164,287,532,786,803
5	-111.52735651023663	26.394862358268767	0	127,374
6	-105.88591499999552	25.52920180481837	1	140,159,360,540,542,848
7	-102.99330194137772	19.234628527447665	0	265,464,571,633,656,872
8	-95.70239157531928	16.425798911605312	0	149,717,839,863,871,880
9	-108.22361823465548	29.546042515850566	1	185,241,405,604,698,876
10	-91.9943075308364	17.010836219216404	0	273,391,634,779,826,906
11	-101.33185660378996	27.086745407330316	0	183,235,491,794,838,904
12	-93.75412860663862	17.657136953334675	0	118,459,494,577,594,784
13	-116.38766621551147	31.444201361887558	0	30,124,461
14	-107.00957493187404	30.066564116296426	0	126,150,468,778,874,915
15	-89.84314405799321	19.289455186888453	0	50,75,166,233,793,936
16	-109.80444174794614	28.188559204658894	0	137,190,238,462,723,829
17	-97.92605666472807	16.262778192196944	0	211,549,706
18	-98.39642596716975	23.81655092842127	0	93,397,473,615,707,897
19	-105.78587202988494	30.574574879243738	0	27,194,621,726,772,849
20	-98.72021585054989	18.0805403677897	0	136,295,345,612,728,866
21	-104.77949143463543	28.740109457852377	0	62,184,635,746,840,892
22	-101.68779116313726	28.21658239726313	0	80,82,272,477,699,847
23	-111.341825218198	31.084940347257827	0	135,299,527,791,801
24	-98.3127188280481	18.867638984799036	1	295,296,420,550,562,817
25	-100.85986234216938	21.72805590673281	1	155,197,369,516,673,689
26	-99.37699082561807	17.65045677973801	0	136,200,435,573,728,808
27	-106.2974886490682	30.524885980560267	0	19,126,194,209,849,915
28	-113.52660055528696	31.53637197870377	0	132,555,782
29	-96.58882741806548	16.363639676983365	1	46,72,441,688,717,760
30	-116.22042569861036	31.858981618102522	0	13,269,390,461,687
31	-102.78283603771114	24.270571980369258	1	36,115,208,579,667,896
32	-103.47813149050036	28.466386070436226	0	138,368,394,556,671,686
33	-99.67490008662524	24.888657838086296	0	88,344,487,697,758,942
34	-106.39430183366035	29.35764302063439	1	188,313,367,468,748,788
35	-102.35236691421291	22.3746081764608	1	60,177,253,413,589,750
36	-102.29883190678585	24.31122537644814	1	31,71,492,579,598,667
37	-97.35857317212395	18.180700150715595	1	54,401,409,450,859,921
38	-98.49762273702304	25.342107999635264	0	224,331,338,821,836,923
39	-100.64064790461543	24.823816292806757	1	255,341,487,565,582,625
40	-90.49263633390647	19.638355003148515	0	166,247,490,793
41	-106.79327600332594	28.541942071543524	1	61,91,313,455,739,800
42	-106.86738641517424	25.42376146678131	1	140,414,753,802,824,944
43	-107.94668510621271	31.121661042456957	0	236,434,522,644,736
44	-99.73386457845857	25.653269971496066	0	232,344,433,524,584,942
45	-103.22705212206874	26.168256953160494	0	195,291,373,580,790,810
46	-96.79233657866246	15.97677854040506	0	29,72,158,760
47	-101.19593233873229	22.856002474008186	1	153,244,500,674,679,716
48	-103.55086599438805	24.590457557939665	1	66,115,180,208,537,559
49	-93.5068192240539	16.56356522470107	0	225,572,783,834,837,887
50	-90.06021932557195	18.91738429737357	0	15,166,354,595,928,936
51	-89.40044322068472	20.765291613381976	0	321,451,470,700,734,792
52	-94.63775222151293	17.607325250662832	0	118,152,196,251,576,919
53	-91.1371923381128	17.781386551328154	0	63,288,658,680,989,995
54	-97.606442135037	18.540162762114747	1	37,173,409,420,550,921
55	-87.45424135788345	21.150444123763688	0	298,442,645,812
56	-107.65752344041802	25.723839979403667	0	193,316,364,547,753,824
57	-107.8797202755616	27.256189011154326	1	64,363,428,618,823,941
58	-108.99324522353508	27.90158858197205	0	100,190,462,471,520,877
59	-95.0540776999291	16.839398163251452	0	0,152,499,839,880,930
60	-102.15063721929594	22.778003548985236	1	35,145,153,177,750,807
61	-106.99079404730617	28.132929219539783	1	41,361,457,739,755,800
62	-104.27596225056084	28.784892405481322	0	21,138,368,416,840,892
63	-91.35047586963351	17.40648523278993	0	53,288,391,634,952,989
64	-108.07162976941478	26.844493360165707	0	57,210,597,823,931,941
65	-104.88925565634297	27.569249575151574	0	94,172,234,343,882,912
66	-103.83640027807841	24.95229023163393	1	48,280,403,444,537,559
67	-108.87394661135762	27.137567229467585	0	227,421,471,597,877,941
