rate loglikelihood    
0.00629964 -4076.431072608392
0.00571915 -4076.6970402011825
0.00590277 -4076.240945359329
0.0066921 -4077.9100592626437
0.00599846 -4076.148429677674
0.00652679 -4077.150117035251
0.00642189 -4076.7686669269356
0.0057862 -4076.4860615709654
0.00607652 -4076.141139847932
0.00589512 -4076.2524740371096
0.00638016 -4076.6400821507095
0.00567099 -4076.8817281302513
0.00619969 -4076.2466491705413
0.00605186 -4076.137029263419
0.00601787 -4076.1410326934124
0.00666875 -4077.791522310735
0.00576267 -4076.554111409035
0.00600824 -4076.1442312315235
0.00628844 -4076.406209845475
0.00599165 -4076.1519124554056
0.00625965 -4076.347068482131
0.00559637 -4077.2249727168355
0.00585499 -4076.323296106501
0.00639329 -4076.6790656717226
0.00610627 -4076.1537993937436
0.00639157 -4076.6739037307652
0.00621058 -4076.262557247642
0.00586133 -4076.310931791161
0.00607982 -4076.142129688344
0.00585775 -4076.317864369728
0.00608628 -4076.14437017224
0.00618377 -4076.2252622608685
0.00585797 -4076.317428705588
0.00640245 -4076.707068582452
0.00570932 -4076.7324256928937
0.00683399 -4078.7048917560683
0.00626223 -4076.3520891183803
0.0059475 -4076.1859212108807
0.00605959 -4076.137688995254
0.00592093 -4076.2160748006027
0.00749085 -4083.804338297899
0.00618794 -4076.2306394518455
0.00594818 -4076.1852443658454
0.00565606 -4076.9447595658985
0.00624491 -4076.319513032069
0.00534295 -4078.954351922874
0.00648339 -4076.9823847766115
0.00582749 -4076.382004711904
0.00747996 -4083.703548233538
0.00629693 -4076.4249646772755
0.00478728 -4086.4964479420482
0.0064958 -4077.0289404087507
0.00652003 -4077.123097031063
0.0069774 -4079.6303286202965
0.00596737 -4076.168155569264
0.00677217 -4078.3431652024747
0.00671996 -4078.056144412216
0.00574998 -4076.5934752844596
0.00542169 -4078.3184359017528
0.00640523 -4076.715687258054
0.00656273 -4077.2992945419965
0.00613659 -4076.1752199538405
0.00615496 -4076.192312743018
0.00581861 -4076.402742690369
0.00677931 -4078.383795506258
0.00649546 -4077.0276557569327
0.00586876 -4076.297028452957
0.00665649 -4077.730702549842
0.00599831 -4076.1484980471473
0.00582782 -4076.3812319591843
0.00633703 -4076.5216079443435
0.00584885 -4076.335669301893
0.0059797 -4076.1591618269877
0.00627556 -4076.378891661274
0.00583769 -4076.3592347024146
0.00574521 -4076.6087676097045
0.00623334 -4076.299172168938
0.00582434 -4076.3892571005863
0.00682716 -4078.663784469505
0.00592053 -4076.2165924779356
0.00581828 -4076.4035422708357
0.0058366 -4076.361623810897
0.00581292 -4076.416524853887
0.00772996 -4086.133015391382
0.00589712 -4076.249410164103
0.00660177 -4077.4716006538792
0.00581819 -4076.4037494806153
0.00582385 -4076.390391687282
0.00583681 -4076.361165248176
0.00596641 -4076.1689247053473
0.00585406 -4076.325132742675
0.00599095 -4076.152301071081
0.00604898 -4076.1369314091608
0.00641277 -4076.7394040990644
0.0058476 -4076.338231850435
0.00585597 -4076.321340565806
0.00594732 -4076.1861021389873
0.00601289 -4076.142572203473
0.00624183 -4076.313987893659
0.00584173 -4076.350551110495
0.00593062 -4076.2042241067147
0.00571512 -4076.7114015337247
0.00594761 -4076.1858122393537
0.00628826 -4076.4058194026197
0.00599597 -4076.1496504770307
0.00527098 -4079.6191731864164
0.0060899 -4076.1458008253953
0.00596847 -4076.16729134424
0.00614211 -4076.1800350584817
0.0059162 -4076.222225238731
0.00614546 -4076.183088982699
0.00593947 -4076.194263963605
0.00627765 -4076.3832306346058
0.00543657 -4078.2086257226583
0.00597417 -4076.16300667503
0.00612971 -4076.1696105795445
