id	xcoord	ycoord	type	neighbours
0	87.51538025680831	26.06250909738892	0	80,134,278,344,783,871
1	11.345048531312091	15.209471207502418	0	5,86,472,836,864,883
2	24.275814505582225	-20.070542566583075	1	69,658,687,721,768,789
3	18.37971030670251	7.74924379013845	0	55,158,464,481,669,870
4	60.77399822223831	50.02266979969276	0	157,249,342,390,573,816
5	9.21718892772667	13.286726163419525	0	1,86,281,325,402,883
6	46.9992122408063	35.08950938773886	2	222,338,346,352,539,753
7	58.48965751304662	20.714844011846964	0	124,885
8	122.36717015393889	54.434218656927825	1	277,333,339,396,760,838
9	39.41867377668241	4.9271881346589375	2	316,356,507,634,676,716
10	25.279314744418183	-5.898852210600718	1	71,72,196,365,435,641
11	74.48138472013216	69.48908298745417	0	141,231,271,442,894
12	9.493840273048862	-1.9460472987493	0	193,799
13	-7.847904929454356	29.22350897986628	1	98,131,230,366,886
14	56.29113181926051	35.17650146304228	1	40,240,684,776,796
15	111.05708278878761	28.880004925745524	0	166,291,350,440,568,645
16	31.241270491823183	8.135850392990868	0	82,107,359,389,395,675
17	62.40616677338322	33.8547228278196	2	130,214,240,511,741,776
18	6.701517458656278	21.8047847801472	1	28,30,75,269,274,800
19	89.75155643398074	33.383137393280094	4	103,112,200,465,625,681
20	23.146697712746835	-33.427462020212495	1	484,571,617
22	52.20097423965366	67.14286113622106	0	300,532,564,750
23	63.87796401568439	28.949959215211994	1	130,140,307,445,511,513
24	23.556861907000094	25.08797275808231	0	272,370,407,418,590,668
25	119.08725298698052	61.71546799590179	0	301,376,434,453,777,812
26	54.08420470685504	40.08304853106537	0	40,58,204
27	3.44315459712441	7.840387034387557	0	264,411,505,529,545
28	4.610852310234974	19.722972317138026	1	18,129,213,218,269,274
29	44.21244853606839	39.642755299840275	2	219,237,346,352,360,580
30	5.784000148032911	24.687121805434398	2	18,238,269,581,725,800
31	22.109223072937315	-1.7461618873894535	0	71,111,148,435,608,701
32	64.52721779444258	39.62803294408038	0	256,572,601,677,679,741
33	106.57424363455723	67.65882200240627	0	94,122,323,483,759,879
34	27.758999316265314	-24.29073273467877	2	69,540,721,722,751,797
35	43.92317401321142	30.851506842062257	0	222,391,495,528,539,583
36	-9.804274294386792	5.83338316803425	0	504,828,878
37	71.52779885665261	46.042189888131425	0	42,139,335,560,825,850
38	15.967044566982388	44.08422918868285	0	137,761,771,780,834
39	14.564966622626638	-4.204588382093481	0	261,479,624,680,799
40	57.009775799596696	38.074791166013526	1	14,26,204,240,679
41	22.499352595244385	14.153193485017491	1	224,236,446,536,633,819
42	74.17852258914812	43.55142005708146	2	37,139,255,335,728,798
43	51.51246968184695	44.981551732067686	0	58,146,461,801
44	15.917390177327787	19.1524736657344	0	332,379,611,616,833,836
45	44.45549717221857	45.47716632039443	0	219,461,614,638,826
46	129.4356781310707	50.81517738832812	0	424,452,474,709,838,888
47	18.13770197466329	66.72785517523056	1	99,314,600,772
48	130.12030976153167	44.320644500586894	0	89,152,182,233,382
49	79.99708801378983	57.18831851165136	0	180,206,283,355,470,503
50	96.26059364400807	48.38280626979242	2	100,120,142,448,521,599
51	135.4275864071874	53.825176983318535	0	187,683,709,752,888
52	-12.21863945938602	9.885100686927155	0	498,515,587,878
53	154.17159426891766	69.30822147293236	0	285,458,803,813
54	-14.84516007495406	19.11589041068099	0	242,659,788,849,882
55	21.123954449189153	6.766590522202103	1	3,158,388,464,613,843
56	38.09113845496835	30.88391869471538	1	363,391,495,574,729,877
57	29.806105701985402	22.694866507632653	0	253,310,406,418,678,774
58	54.74177698197436	43.05783080272129	0	26,43,146,204,719
59	31.065681579637133	-8.226553542943169	2	72,247,369,371,387,715
60	101.48277157745673	44.990309040531145	2	142,226,497,599,792,890
61	26.996580067802945	43.94961077472854	0	467,548,656,745
62	30.41687937664907	16.66754051243757	0	115,175,253,702,791,896
63	22.00105959213366	-24.848446528486754	2	69,436,473,540,768,785
64	27.92383984021651	68.45734508606392	0	314,414,642,772,856
65	57.508585224515556	27.655687163921105	1	227,433,445,652,688
