parameters	loglikelihood
[1. 1. 1.]	-15.975418481025244
[1.00000001 1.         1.        ]	-15.97541844602748
[1.         1.00000001 1.        ]	-15.975418467378555
[1.         1.         1.00000001]	-15.97541845967417
[2.24786456 1.37140535 1.6390956 ]	-13.230577247455896
[2.24786458 1.37140535 1.6390956 ]	-13.230577241902676
[2.24786456 1.37140536 1.6390956 ]	-13.230577240458269
[2.24786456 1.37140535 1.63909561]	-13.230577248900302
[2.69590735 1.70341033 1.58265295]	-13.034471642876616
[2.69590737 1.70341033 1.58265295]	-13.034471643761139
[2.69590735 1.70341034 1.58265295]	-13.034471637729402
[2.69590735 1.70341033 1.58265297]	-13.034471648908351
[3.39560818 2.81776151 1.20507313]	-13.217700025311418
[3.39560821 2.81776151 1.20507313]	-13.217700041989156
[3.39560818 2.81776154 1.20507313]	-13.217700040942729
[3.39560818 2.81776151 1.20507315]	-13.21770002635785
[2.95077241 2.07438741 1.42247904]	-12.934168171636408
[2.95077244 2.07438741 1.42247904]	-12.934168176063023
[2.95077241 2.07438743 1.42247904]	-12.934168171085282
[2.95077241 2.07438741 1.42247905]	-12.93416817661415
[2.8382165  2.20173137 1.28908389]	-12.88496180162691
[2.83821652 2.20173137 1.28908389]	-12.884961804350013
[2.8382165  2.20173139 1.28908389]	-12.884961802042723
[2.8382165  2.20173137 1.28908391]	-12.884961803934202
[2.66223087 2.21895566 1.19976732]	-12.8673534654155
[2.6622309  2.21895566 1.19976732]	-12.867353465110394
[2.66223087 2.21895568 1.19976732]	-12.86735346459629
[2.66223087 2.21895566 1.19976733]	-12.8673534659296
[2.66055916 2.30295586 1.15528003]	-12.865023835231439
[2.66055918 2.30295586 1.15528003]	-12.865023835481896
[2.66055916 2.30295588 1.15528003]	-12.865023835405527
[2.66055916 2.30295586 1.15528004]	-12.86502383530781
[2.64918334 2.29826037 1.15269053]	-12.864938087493357
[2.64918337 2.29826037 1.15269053]	-12.864938087511156
[2.64918334 2.29826039 1.15269053]	-12.86493808749576
[2.64918334 2.29826037 1.15269054]	-12.864938087508751
[2.64773739 2.29918633 1.15159745]	-12.864936870773048
[2.64773742 2.29918633 1.15159745]	-12.86493687077307
[2.64773739 2.29918635 1.15159745]	-12.864936870772336
[2.64773739 2.29918633 1.15159746]	-12.864936870773782
[2.64769378 2.29927798 1.15153257]	-12.864936867240841
[2.6476938  2.29927798 1.15153257]	-12.864936867240823
[2.64769378 2.299278   1.15153257]	-12.86493686724082
[2.64769378 2.29927798 1.15153258]	-12.864936867240848
