rate0 rate1 rate2 loglikelihood
0.02642822 0.09465958 0.02382583 -122482.27805154822
0.03143575 0.06543032 0.04543184 -122705.4807692058
0.02004381 0.14028789 0.0007119 -122271.49339444767
0.02731171 0.07182602 0.02211187 -122471.35598360786
0.02032188 0.12991083 0.02941439 -122445.59739262638
0.0201015 0.16142132 0.10667231 -122548.91833960844
0.02164292 0.09265808 0.11438654 -122530.01734235091
0.0210357 0.07848034 0.01086458 -122325.3868628578
0.03670126 0.02903525 0.06614924 -122895.64159204776
0.02141213 0.10936526 0.00607061 -122311.30717024735
0.01285138 0.26613092 0.3187219 -123012.850839256
0.03657696 0.00433124 0.044075 -122540.60977163428
0.03463413 0.0471236 0.02904742 -122738.81373038414
0.00729343 0.05806619 0.00421329 -126044.46915518754
0.01043347 0.15670816 0.03956242 -123631.5775844692
0.03091214 0.07293583 0.04529687 -122693.80385587907
0.0216301 0.06949541 0.00852799 -122291.88528464679
0.01973815 0.24583326 0.35054588 -122616.08468686878
0.03503928 0.00850083 0.04413307 -122591.39634603813
0.03080307 0.02374896 0.01378241 -122383.50714662604
0.02022728 0.18833246 0.2624013 -122598.70698266351
0.0212489 0.06723818 0.02238367 -122373.3915195135
0.01636179 0.14064257 0.03347845 -122579.23492022244
0.02054271 0.14939419 0.10129846 -122542.29076399635
0.01887266 0.01372362 0.01458552 -122299.63155636229
0.03369676 0.02674507 0.07258278 -122765.32076529461
0.03492647 0.02721393 0.01350484 -122549.43460399867
0.02133099 0.05720544 0.00319121 -122216.27970596723
0.02895935 0.08306441 0.03725214 -122606.06729826883
0.02003866 0.1410393 0.00770312 -122362.57021894299
0.01868266 0.13880136 0.02792693 -122470.56864555788
0.02070289 0.12648664 0.00324287 -122302.89770786172
0.05319794 0.038418 0.00077078 -123105.01133052562
0.01937413 0.28886511 0.4296154 -122626.54780760611
0.02947073 0.07527628 0.12248308 -122746.62596031194
0.03065833 0.02425273 0.01361762 -122379.42849964411
0.02557104 0.07133974 0.0220268 -122424.55220899459
0.01768352 0.00959369 0.01705842 -122363.5991141688
0.02235295 0.05284268 0.00604331 -122235.59296235193
0.02070035 0.11271098 0.02711457 -122427.30972669467
0.0209198 0.12125032 0.00410769 -122305.85211256333
0.05922454 0.01912526 0.00087339 -123233.43407716803
0.02013134 0.16449347 0.12644944 -122559.17067284879
0.03132565 0.01832485 0.01271315 -122355.80369895168
0.03472252 0.06438398 0.01344007 -122660.36336193564
0.02041524 0.13343065 0.00209601 -122297.37448192982
0.02022977 0.15553599 0.10926621 -122548.28138427502
0.03091005 0.00739067 0.03428999 -122381.18605405216
0.02051889 0.12922459 0.05879279 -122497.38625481316
0.04934925 0.05110742 0.00063535 -122994.14075481135
0.02995242 0.0353061 0.02466255 -122496.22521587962
0.02093603 0.13188345 0.00406184 -122313.7999700075
0.03301645 0.00488564 0.03948023 -122409.02978682151
0.01709459 0.1447415 0.03200178 -122537.73501855334
0.02348224 0.06411179 0.01264078 -122320.12585172831
0.02078994 0.12541622 0.0886194 -122524.57545036243
0.00856863 0.20151586 0.01157501 -124583.02512776387
0.02720539 0.04237737 0.01267513 -122338.55401980801
0.0228469 0.01481614 0.01280409 -122190.92080919155
0.04122118 0.07675881 0.00056688 -122727.3430216908
0.03514504 0.00526105 0.04452196 -122516.7321597178
0.03188858 0.01503868 0.01271834 -122351.03366858575
0.02181065 0.04357706 0.00607481 -122222.97638049803
0.02186941 0.10083633 0.05815592 -122487.3336948681
0.0303364 0.03105545 0.01128129 -122370.73333143513
0.02414184 0.05258855 0.00920894 -122274.2853635573
0.02224089 0.09706305 0.06801959 -122501.93644455125
0.03269822 0.02412907 0.04922254 -122660.23460635934
0.02156954 0.07592138 0.02702926 -122398.43476723903
0.01991458 0.12069237 0.00625053 -122340.74126698595
0.02066311 0.12744702 0.00308425 -122302.28178374394
0.02885231 0.04803588 0.00953823 -122360.28853096445
0.01992151 0.12707699 0.00465481 -122330.95366048574
0.02058371 0.12521276 0.00283789 -122298.50560601993
0.02520863 0.03375988 0.0103601 -122250.61266764527
0.02460815 0.09415998 0.00509301 -122298.06345322373
0.04150117 0.07861051 0.00020232 -122668.384732737
0.0246929 0.07665782 0.04535122 -122492.7796371758
0.03046468 0.01902928 0.01221566 -122326.47411600198
0.02086231 0.08672293 0.00205217 -122246.13352451242
0.01954612 0.12224624 0.00660029 -122352.5197255585
0.02233845 0.09012391 0.0722501 -122503.2356001038
0.02563112 0.03248326 0.01179164 -122268.17588952853
0.01993887 0.14306496 0.00065892 -122272.11445447922
0.0209685 0.12102979 0.02342461 -122419.59427342511
0.02131613 0.05677577 0.00294039 -122211.73994379188
0.0202748 0.13162332 0.00282387 -122308.13824970923
0.0223596 0.05769949 0.03541318 -122408.233518408
0.03687999 0.05366274 0.00523253 -122598.17982730572
0.02818717 0.006734 0.01469475 -122179.49794914896
0.01871521 0.18788526 0.00613774 -122405.17543706836
0.02228913 0.13426 0.10004159 -122552.40038595101
0.02107625 0.07718693 0.00271555 -122242.15218128185
0.02000935 0.14322905 0.00047772 -122254.36345057396
0.02449863 0.0925735 0.04888597 -122510.35527326171
0.02172016 0.10629703 0.00434576 -122288.73069330533
0.04711367 0.05161584 0.00673968 -123071.01286867708
0.02167594 0.10087697 0.00419194 -122281.72549485766
0.02660141 0.02520943 0.01077835 -122244.60863028157
0.0266403 0.08584291 0.04133501 -122544.20057833908
0.02406366 0.02457591 0.01154495 -122221.52140562754
0.02826195 0.00662084 0.01472122 -122179.36545297
0.01939946 0.14711065 0.00320052 -122341.0632079786
0.02069571 0.11109712 0.00347739 -122292.96161502428
0.03798781 0.05344116 0.00539568 -122647.83817678157
0.03064396 0.0427729 0.03279268 -122586.27245524968
0.0207669 0.08446201 0.00361557 -122268.39333562583
0.0237719 0.02391376 0.01168865 -122219.39602915755
0.02251164 0.02982129 0.01135055 -122237.96161345615
0.0229074 0.07712968 0.08934643 -122518.7988354686
2.22017374e-02 3.95892683e-05 4.70209506e-03 -122658.78351767173
0.0210472 0.11081929 0.00601345 -122314.88556676586
0.02918048 0.01389842 0.02725123 -122376.77985546649
0.02296141 0.06827441 0.00714605 -122272.64163756484
0.03535163 0.00353327 0.04494492 -122458.67963300252
0.02029946 0.12190846 0.00091796 -122262.14504393662
0.03663317 0.05392185 0.00526646 -122589.46686614203
0.02117547 0.12889449 0.07510525 -122517.08490221639
0.02038924 0.1346419 0.01367839 -122390.02584243762
0.02276247 0.01398582 0.0129059 -122187.93194074901
0.0241305 0.01259039 0.01276363 -122174.41478119031
0.02314631 0.11873051 0.00179283 -122266.55485948235
0.03618794 0.0514061 0.00576932 -122572.65776372225
0.02161931 0.0809193 0.03319642 -122421.70308961756
2.85602988e-02 8.24141475e-05 1.54752274e-02 -122456.39684154204
0.02126243 0.09866899 0.00687829 -122310.29177714745
0.02403624 0.01515525 0.01353061 -122196.71305121099
0.02017103 0.1301364 0.00066248 -122257.36296209795
0.02299414 0.01367557 0.01298237 -122185.2602965659
0.03613217 0.04177535 0.01363866 -122660.5709104291
0.02158755 0.07839035 0.03002721 -122410.29776715007
0.02858291 0.00640385 0.0160603 -122194.15404317656
0.02292559 0.04875317 0.01029112 -122271.94395512725
0.02176523 0.09253971 0.04775882 -122463.99122787465
0.03764158 0.00027963 0.05385349 -122315.72758356092
0.01006278 0.06083896 0.00079976 -123961.59233142843
0.02143604 0.09259807 0.00775499 -122311.09107633181
0.02270873 0.12230061 0.00157601 -122264.47329783844
0.02234117 0.04371776 0.020895 -122333.32795858325
0.03006961 0.00419999 0.01531791 -122172.79308770501
0.02099332 0.07745674 0.00229823 -122237.13996557449
0.04331246 0.07434162 0.00163651 -122861.2566248294
0.02189507 0.05920986 0.05192256 -122442.14699478608
0.03574965 0.00682688 0.04795325 -122594.48105197647
0.02039656 0.10141083 0.00694263 -122323.80652082096
0.0265482 0.02383917 0.01103937 -122240.79874879989
0.03733578 0.01103491 0.04373821 -122729.19248496374
0.00864025 0.06135258 0.00052917 -124805.32485024424
0.02193673 0.01468535 0.01318592 -122202.60463380866
0.02152442 0.08232785 0.0255324 -122398.88744983802
0.02928686 0.00524826 0.01505953 -122178.09843487253
0.02187909 0.0684027 0.00905196 -122293.52005204359
0.0229801 0.01363859 0.00926501 -122149.65631703699
0.02136756 0.06308505 0.00851877 -122286.29039417286
0.0229222 0.01651853 0.00925381 -122164.71672302444
0.02218037 0.0486453 0.0095768 -122266.95987445806
0.03730629 0.00058513 0.05283383 -122280.48464545507
0.02131996 0.09621379 0.00894377 -122324.99116764587
0.0212954 0.08667443 0.00587328 -122288.7769644529
0.03055898 0.03531023 0.00725913 -122332.35044416609
0.02151282 0.08090438 0.02427383 -122393.0825903871
0.03750788 0.00048444 0.05387887 -122285.2027595599
0.02282554 0.02132623 0.00923511 -122185.99545839238
0.02220747 0.0987154 0.00206711 -122246.43607506543
0.02550379 0.0103146 0.01381078 -122174.18678495297
0.02749689 0.06690915 0.00522471 -122307.60274535306
0.0208194 0.12111198 0.00884691 -122347.98921377484
